Scheme,Category,CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Exp. Ratio(%),6M_Score,1Y_Score,3Y_Score,Performance_Score,Cost_Score,Return_Std,Consistency_Score,Overall_Score,Category_Avg_3Y,3Y_vs_Category,Overall_Rank,Category_Rank,Type,Benchmark,Min. Invest(Rs.),SIP Min. Inv.(Rs.)
ICICI Pru S&P BSE Sensex Index Fund(IDCW),Index Funds - Sensex,6.36,15.09,13.02,0.27,65.95059076262085,45.57309540150995,63.11126860382708,58.417681074890695,94.25287356321839,11.036995264321927,80.88336343929733,72.99289978807428,12.6,0.41999999999999993,1,1,Open ended,S&P BSE SENSEX - TRI,1000.0,1000.0
ICICI Pru S&P BSE Sensex Index Fund(G),Index Funds - Sensex,6.36,15.09,13.02,0.27,65.95059076262085,45.57309540150995,63.11126860382708,58.417681074890695,94.25287356321839,11.036995264321927,80.88336343929733,72.99289978807428,12.6,0.41999999999999993,1,1,Open ended,S&P BSE SENSEX - TRI,1000.0,1000.0
UTI Nifty 50 Index Fund-Reg(IDCW),Index Funds - Nifty,4.77,15.03,12.3,0.3,62.534908700322234,45.47014413177763,60.55988660524451,56.42796828221999,93.10344827586206,9.334588278471372,83.83201883395068,72.44785091856318,11.5208,0.7792000000000012,3,1,Open ended,NIFTY 50 - TRI,5000.0,1000.0
UTI Nifty 50 Index Fund-Reg(G),Index Funds - Nifty,4.77,15.03,12.3,0.3,62.534908700322234,45.47014413177763,60.55988660524451,56.42796828221999,93.10344827586206,9.334588278471372,83.83201883395068,72.44785091856318,11.5208,0.7792000000000012,3,1,Open ended,NIFTY 50 - TRI,5000.0,1000.0
ICICI Pru Nifty 50 Index Fund(G),Index Funds - Nifty,4.6,14.78,11.89,0.35,62.16970998925886,45.04118050789294,59.107016300496106,55.49980430046771,91.18773946360153,9.13431580515371,84.17890093309435,71.59156224940781,11.5208,0.3692000000000011,5,3,Open ended,NIFTY 50 - TRI,1000.0,1000.0
HDFC Index Fund-S&P BSE Sensex(G),Index Funds - Sensex,6.32,14.8,13.02,0.4,65.86466165413533,45.07549759780371,63.11126860382708,58.25121591208172,89.272030651341,11.292029277564696,80.44163157070267,71.55402351155178,12.6,0.41999999999999993,6,3,Open ended,S&P BSE SENSEX - TRI,1000.0,NULL
HDFC Index Fund-NIFTY 50 Plan(G),Index Funds - Nifty,4.63,14.8,12.11,0.4,62.234156820622985,45.07549759780371,59.88660524450744,55.91278326571943,89.272030651341,9.303220718740448,83.8863490411141,71.24598655597349,11.5208,0.5892,7,4,Open ended,NIFTY 50 - TRI,1000.0,1000.0
ICICI Pru Passive Strategy Fund(FOF)(IDCW),FoFs (Domestic) - Equity Oriented,5.94,15.0,11.05,0.37,65.04833512352309,45.418668496911465,56.13040396881643,54.70046955818627,90.42145593869732,9.828483985946704,82.97656637496323,70.69974035750828,9.208461538461538,1.8415384615384625,8,1,Open ended,NIFTY 200 - TRI,5000.0,1000.0
ICICI Pru Passive Strategy Fund(FOF)(G),FoFs (Domestic) - Equity Oriented,5.89,14.98,11.04,0.37,64.94092373791621,45.384351407000686,56.09496810772501,54.65097422354595,90.42145593869732,9.793090782583034,83.03786920143173,70.69031839680524,9.208461538461538,1.831538461538461,9,2,Open ended,NIFTY 200 - TRI,5000.0,1000.0
SBI Nifty Index Fund-Reg(IDCW),Index Funds - Nifty,4.55,14.56,11.77,0.5,62.062298603651975,44.663692518874406,58.681785967399,55.152460460092215,85.44061302681992,9.225384394057278,84.02116551013978,69.94167486428603,11.5208,0.2492000000000001,10,5,Open ended,NIFTY 50 - TRI,5000.0,1000.0
SBI Nifty Index Fund-Reg(G),Index Funds - Nifty,4.55,14.52,11.74,0.5,62.062298603651975,44.59505833905285,58.575478384124736,55.07871641450862,85.44061302681992,9.244048016076658,83.98883916854895,69.89672125609653,11.5208,0.21920000000000073,11,6,Open ended,NIFTY 50 - TRI,5000.0,1000.0
Tata NIFTY 50 Index Fund-Reg(G),Index Funds - Nifty,4.57,14.58,11.91,0.52,62.10526315789473,44.69800960878518,59.17788802267895,55.41939952555397,84.67432950191571,9.320665929235007,83.85613305018879,69.8423154008031,11.5208,0.38920000000000066,12,7,Open ended,NIFTY 50 - TRI,5000.0,1000.0
IDFC Nifty 50 Index Fund-Reg(G),Index Funds - Nifty,4.7,15.02,12.21,0.6,62.38453276047261,45.452985586822244,60.24096385542168,56.23328415585203,81.60919540229885,9.219151069167722,84.03196194554857,69.52693141488787,11.5208,0.6892000000000014,13,8,Open ended,NIFTY 50 - TRI,1000.0,1000.0
Tata S&P BSE Sensex Index Fund-Reg(G),Index Funds - Sensex,6.09,14.17,12.63,0.58,65.37056928034372,43.994509265614276,61.72927002126152,57.13710164638378,82.37547892720308,11.43617608809542,80.19196197111444,69.21041104777127,12.6,0.030000000000001137,14,4,Open ended,S&P BSE SENSEX - TRI,5000.0,1000.0
Kotak Multi Asset Allocator FoF-Dynamic(IDCW),FoFs (Domestic) - Debt Oriented,12.75,19.18,14.93,0.98,79.67776584317937,52.59094028826357,69.87951807228916,66.65259429125953,67.04980842911877,13.714935288561021,76.24503525769299,69.1500080673327,7.596764705882354,7.333235294117646,15,1,Open ended,NULL,5000.0,1000.0
Kotak Multi Asset Allocator FoF-Dynamic(G),FoFs (Domestic) - Debt Oriented,12.75,19.18,14.93,0.98,79.67776584317937,52.59094028826357,69.87951807228916,66.65259429125953,67.04980842911877,13.714935288561021,76.24503525769299,69.1500080673327,7.596764705882354,7.333235294117646,15,1,Open ended,NULL,5000.0,1000.0
IDFC Nifty 50 Index Fund-Reg(IDCW),Index Funds - Nifty,4.7,14.59,11.95,0.6,62.38453276047261,44.71516815374057,59.319631467044644,55.55127273173902,81.60919540229885,9.441843165873705,83.64624791960976,69.08949719634667,11.5208,0.4291999999999998,17,9,Open ended,NIFTY 50 - TRI,1000.0,1000.0
Aditya Birla SL Nifty 50 Index Fund-Reg(G),Index Funds - Nifty,4.41,14.67,11.68,0.6,61.76154672395273,44.85243651338367,58.36286321757618,54.98947190759374,81.60919540229885,8.944278314645672,84.50805552199716,69.02404868487088,11.5208,0.15920000000000023,18,10,Open ended,NIFTY 50 - TRI,1000.0,1000.0
Aditya Birla SL Nifty 50 Index Fund-Reg(IDCW-Reinv),Index Funds - Nifty,4.41,14.65,11.46,0.6,61.76154672395273,44.81811942347289,57.58327427356485,54.589382308614844,81.60919540229885,8.82691780580989,84.71132988610287,68.87482247640786,11.5208,-0.06079999999999863,19,11,Open ended,NIFTY 50 - TRI,1000.0,1000.0
Nippon India Small Cap Fund(IDCW),Equity - Small cap Fund,10.34,30.24,14.69,1.76,74.50053705692802,71.56829100892246,69.02905740609495,70.88512341710981,37.16475095785441,2.7380912982481385,95.25748675567199,68.5481211369365,12.12758620689655,2.562413793103449,20,1,Open ended,Nifty Smallcap 250 - TRI,5000.0,1000.0
Nippon India Index Fund-Nifty 50 Plan(G),Index Funds - Nifty,4.16,14.05,11.37,0.59,61.224489795918366,43.788606726149624,57.26435152374202,54.01365573889957,81.99233716475096,9.140463257837306,84.16825323270925,68.54697546881485,11.5208,-0.15080000000000027,21,12,Open ended,NIFTY 50 - TRI,1000.0,1000.0
Nippon India Small Cap Fund(G),Equity - Small cap Fund,10.34,30.24,14.68,1.76,74.50053705692802,71.56829100892246,68.99362154500355,70.86740548656411,37.16475095785441,2.7553919318902453,95.22752117920074,68.53177077754584,12.12758620689655,2.552413793103449,22,2,Open ended,Nifty Smallcap 250 - TRI,5000.0,1000.0
